+-----+--------------------------------------------+-------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+-------------------------+-------------------------+-------------------------+
|  ID | Registry name                              | Biome name              |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  | waterColorMultiplier    | grassColorMultiplier    | foliageColorMultiplier  |
+-----+--------------------------------------------+-------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+-------------------------+-------------------------+-------------------------+
|   0 | minecraft:ocean                            | Ocean                   |    0.50 | OCEAN    | 0.50 | false | true    |            | OCEAN, WATER                                                      |                            | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|   1 | minecraft:plains                           | Plains                  |    0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | PLAINS                                                            | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|   2 | minecraft:desert                           | Desert                  |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, SANDY                                                   | stronghold, village        | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|   3 | minecraft:extreme_hills                    | Extreme Hills           |    0.20 | MEDIUM   | 0.30 | false | false   | COOL, WARM | HILLS, MOUNTAIN                                                   | stronghold, village        | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|   4 | minecraft:forest                           | Forest                  |    0.70 | MEDIUM   | 0.80 | false | false   | COOL, WARM | FOREST                                                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|   5 | minecraft:taiga                            | Taiga                   |    0.25 | MEDIUM   | 0.80 | false | false   | COOL       | COLD, CONIFEROUS, FOREST                                          | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
|   6 | minecraft:swampland                        | Swampland               |    0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP, WET                                                        |                            | 0x00E0FFAE (  14745518) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
|   7 | minecraft:river                            | River                   |    0.50 | MEDIUM   | 0.50 | false | false   |            | RIVER, WATER                                                      |                            | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|   8 | minecraft:hell                             | Hell                    |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER                                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|   9 | minecraft:sky                              | The End                 |    0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, END                                                    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  10 | minecraft:frozen_ocean                     | FrozenOcean             |    0.00 | OCEAN    | 0.50 |  true | true    |            | COLD, OCEAN, SNOWY, WATER                                         |                            | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  11 | minecraft:frozen_river                     | FrozenRiver             |    0.00 | COLD     | 0.50 |  true | false   |            | COLD, RIVER, SNOWY, WATER                                         |                            | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  12 | minecraft:ice_flats                        | Ice Plains              |    0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, SNOWY, WASTELAND                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  13 | minecraft:ice_mountains                    | Ice Mountains           |    0.00 | COLD     | 0.50 |  true | false   |            | COLD, MOUNTAIN, SNOWY                                             | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  14 | minecraft:mushroom_island                  | MushroomIsland          |    0.90 | MEDIUM   | 1.00 | false | false   |            | MUSHROOM, RARE                                                    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF55C93F ( -11155137) | 0xFF2BBB0F ( -13911281) |
|  15 | minecraft:mushroom_island_shore            | MushroomIslandShore     |    0.90 | MEDIUM   | 1.00 | false | false   |            | BEACH, MUSHROOM, RARE                                             |                            | 0x00FFFFFF (  16777215) | 0xFF55C93F ( -11155137) | 0xFF2BBB0F ( -13911281) |
|  16 | minecraft:beaches                          | Beach                   |    0.80 | MEDIUM   | 0.40 | false | false   |            | BEACH                                                             |                            | 0x00FFFFFF (  16777215) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|  17 | minecraft:desert_hills                     | DesertHills             |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, SANDY                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  18 | minecraft:forest_hills                     | ForestHills             |    0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS                                                     | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  19 | minecraft:taiga_hills                      | TaigaHills              |    0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, HILLS                                   | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
|  20 | minecraft:smaller_extreme_hills            | Extreme Hills Edge      |    0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN                                                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|  21 | minecraft:jungle                           | Jungle                  |    0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, WET                                           | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF59C93C ( -10892996) | 0xFF30BB0B ( -13583605) |
|  22 | minecraft:jungle_hills                     | JungleHills             |    0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HILLS, HOT, JUNGLE, WET                                    | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF59C93C ( -10892996) | 0xFF30BB0B ( -13583605) |
|  23 | minecraft:jungle_edge                      | JungleEdge              |    0.95 | MEDIUM   | 0.80 | false | false   |            | FOREST, HOT, JUNGLE, RARE, WET                                    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF64C73F ( -10172609) | 0xFF3EB80F ( -12666865) |
|  24 | minecraft:deep_ocean                       | Deep Ocean              |    0.50 | OCEAN    | 0.50 | false | true    |            | OCEAN, WATER                                                      |                            | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  25 | minecraft:stone_beach                      | Stone Beach             |    0.20 | MEDIUM   | 0.30 | false | false   |            | BEACH                                                             | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|  26 | minecraft:cold_beach                       | Cold Beach              |    0.05 | COLD     | 0.30 |  true | false   |            | BEACH, COLD, SNOWY                                                |                            | 0x00FFFFFF (  16777215) | 0xFF83B593 (  -8145517) | 0xFF64A278 ( -10182024) |
|  27 | minecraft:birch_forest                     | Birch Forest            |    0.60 | MEDIUM   | 0.60 | false | false   | WARM       | BIRCH_TREES, FOREST, THEMED_TREES                                 | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
|  28 | minecraft:birch_forest_hills               | Birch Forest Hills      |    0.60 | MEDIUM   | 0.60 | false | false   |            | BIRCH_TREES, FOREST, HILLS, THEMED_TREES                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
|  29 | minecraft:roofed_forest                    | Roofed Forest           |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | BIRCH_TREES, DENSE, FOREST, SPOOKY, THEMED_TREES                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  30 | minecraft:taiga_cold                       | Cold Taiga              |   -0.50 | COLD     | 0.40 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                                   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  31 | minecraft:taiga_cold_hills                 | Cold Taiga Hills        |   -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, HILLS, SNOWY                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  32 | minecraft:redwood_taiga                    | Mega Taiga              |    0.30 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MEGA_TAIGA_TREES, THEMED_TREES          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF86B87F (  -7948161) | 0xFF68A55F (  -9919137) |
|  33 | minecraft:redwood_taiga_hills              | Mega Taiga Hills        |    0.30 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, HILLS, MEGA_TAIGA_TREES, THEMED_TREES   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF86B87F (  -7948161) | 0xFF68A55F (  -9919137) |
|  34 | minecraft:extreme_hills_with_trees         | Extreme Hills+          |    0.20 | MEDIUM   | 0.30 | false | false   |            | FOREST, MOUNTAIN, SPARSE                                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|  35 | minecraft:savanna                          | Savanna                 |    1.20 | WARM     | 0.00 | false | false   |            | HOT, PLAINS, SAVANNA, SPARSE                                      | stronghold, village        | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  36 | minecraft:savanna_rock                     | Savanna Plateau         |    1.00 | WARM     | 0.00 | false | false   |            | HOT, PLAINS, RARE, SAVANNA, SPARSE                                | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  37 | minecraft:mesa                             | Mesa                    |    2.00 | WARM     | 0.00 | false | false   |            | MESA, SANDY                                                       | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  38 | minecraft:mesa_rock                        | Mesa Plateau F          |    2.00 | WARM     | 0.00 | false | false   |            | MESA, SANDY, SPARSE                                               | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  39 | minecraft:mesa_clear_rock                  | Mesa Plateau            |    2.00 | WARM     | 0.00 | false | false   |            | MESA, SANDY                                                       | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  40 | nt:oak_forest                              | Oak Forest              |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  41 | nt:tall_oak_forest                         | Tall Oak Forest         |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  42 | nt:green_swamp                             | Green Swamp             |    0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP                                                             | spawn, stronghold          | 0x00379A3E (   3643966) | 0x0074A34C (   7643980) | 0x0074A34C (   7643980) |
|  43 | nt:bog                                     | Bog                     |    0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP                                                             | spawn, stronghold          | 0x00523507 (   5387527) | 0x00747036 (   7630902) | 0x005C803C (   6062140) |
|  44 | nt:shrubland                               | Shrubland               |    0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                                            | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0x0089BA60 (   9026144) | 0x0089BA60 (   9026144) |
|  45 | nt:dense_shrubland                         | Dense Shrubland         |    0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                                            | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0x0089BA60 (   9026144) | 0x0089BA60 (   9026144) |
|  46 | nt:highlands                               | Highlands               |    0.70 | MEDIUM   | 0.20 | false | false   | WARM       | HILLS                                                             | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0x008AB467 (   9090151) | 0x008AB467 (   9090151) |
|  47 | nt:lowlands                                | Lowlands                |    0.40 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                                            | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0x007FB068 (   8368232) | 0x007FB068 (   8368232) |
|  48 | nt:dry_forest                              | Dry Forest              |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x00A99D5D (  11115869) | 0x00A99D5D (  11115869) |
|  49 | nt:dry_forest_hills                        | Dry Forest Hills        |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x00A99D5D (  11115869) | 0x00A99D5D (  11115869) |
|  50 | nt:springs                                 | Springs                 |    1.00 | WARM     | 0.50 | false | false   | WARM       | WET                                                               | spawn, stronghold          | 0x00008904 (     35076) | 0x007F9644 (   8361540) | 0x007F9644 (   8361540) |
|  51 | nt:mixed_forest                            | Mixed Forest            |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x008BAB3A (   9153338) | 0x008BAB3A (   9153338) |
|  52 | nt:dense_mixed_forest                      | Dense Mixed Forest      |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x008BAB3A (   9153338) | 0x008BAB3A (   9153338) |
|  53 | nt:blossom forest                          | Blossom Forest          |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  54 | nt:blossom forest hills                    | Blossom Forest Hills    |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  55 | nt:estuary                                 | Estuary                 |    0.80 | MEDIUM   | 0.90 | false | false   | WARM       | RIVER, SWAMP, WATER                                               | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x0092B25C (   9613916) | 0x00629D30 (   6462768) |
|  56 | nt:meadow                                  | Meadow                  |    0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                                            | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0x0073AC42 (   7580738) | 0x0073AC42 (   7580738) |
|  57 | nt:birch_hills                             | Birch Hills             |    0.80 | MEDIUM   | 0.40 | false | false   | WARM       | HILLS                                                             | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|  58 | nt:fungal_jungle                           | Fungal Jungle           |    0.95 | MEDIUM   | 0.90 | false | false   | WARM       | JUNGLE, MUSHROOM                                                  | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0x0041B04E (   4304974) | 0x0041B04E (   4304974) |
|  59 | nt:lake                                    | Lake                    |    0.80 | MEDIUM   | 0.40 | false | false   | WARM       | CONIFEROUS, WATER                                                 | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|  60 | nt:sand_dunes                              | Sand Dunes              |    2.00 | WARM     | 0.00 | false | false   | DESERT     | SANDY                                                             | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  61 | nt:red_sand_dunes                          | Red Sand Dunes          |    2.00 | WARM     | 0.00 | false | false   | DESERT     | SANDY                                                             | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  62 | nt:sahel                                   | Sahel                   |    0.95 | MEDIUM   | 0.90 | false | false   | DESERT     | SANDY                                                             | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0x0092B25C (   9613916) | 0x0092B25C (   9613916) |
|  63 | nt:outback                                 | Outback                 |    2.00 | WARM     | 0.90 | false | false   | DESERT     | SAVANNA                                                           | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0x0092A53F (   9610559) | 0x0071A11F (   7446815) |
|  64 | nt:savanna_scrub                           | Savanna Scrub           |    1.20 | WARM     | 0.00 | false | false   | DESERT     | SAVANNA                                                           | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  65 | nt:claylands                               | Claylands               |    0.80 | MEDIUM   | 0.40 | false | false   | DESERT     | SAVANNA                                                           | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0x00CCB675 (  13416053) | 0x00CCB675 (  13416053) |
|  66 | nt:rocklands                               | Rocklands               |    0.80 | MEDIUM   | 0.40 | false | false   | DESERT     | SAVANNA                                                           | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0x00CCB675 (  13416053) | 0x00CCB675 (  13416053) |
|  67 | nt:taiga_plains                            | Taiga Plains            |    0.25 | MEDIUM   | 0.80 | false | false   | COOL       | PLAINS                                                            | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
|  68 | nt:autumn_taiga                            | Autumn Taiga            |    0.25 | MEDIUM   | 0.80 | false | false   | COOL       | CONIFEROUS                                                        | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0x00A4BA6B (  10795627) | 0x00A4BA6B (  10795627) |
|  69 | nt:autumn_taiga_hills                      | Autumn Taiga Hills      |    0.25 | MEDIUM   | 0.80 | false | false   | COOL       | CONIFEROUS                                                        | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x00A4BA6B (  10795627) | 0x00A4BA6B (  10795627) |
|  70 | nt:cliffs                                  | Cliffs                  |    0.70 | MEDIUM   | 0.30 | false | false   | COOL       | HILLS                                                             | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x008CB06B (   9220203) | 0x008CB06B (   9220203) |
|  71 | nt:mega_autumn_taiga                       | Mega Autumn Taiga       |    0.25 | MEDIUM   | 0.80 | false | false   | COOL       | CONIFEROUS                                                        | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x00A4BA6B (  10795627) | 0x00A4BA6B (  10795627) |
|  72 | nt:pine_forest                             | Pine Forest             |    0.25 | MEDIUM   | 0.80 | false | false   | COOL       | CONIFEROUS                                                        | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x00567C48 (   5667912) | 0x00567C48 (   5667912) |
