+-----+--------------------------------------------+-------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name              |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  |
+-----+--------------------------------------------+-------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
|   0 | minecraft:ocean                            | Ocean                   |    0.50 | OCEAN    | 0.50 | false | true    |            | OCEAN, WATER                                                      |                            |
|   1 | minecraft:plains                           | Plains                  |    0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | PLAINS                                                            | spawn, stronghold, village |
|   2 | minecraft:desert                           | Desert                  |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, SANDY                                                   | stronghold, village        |
|   3 | minecraft:extreme_hills                    | Extreme Hills           |    0.20 | MEDIUM   | 0.30 | false | false   | COOL, WARM | HILLS, MOUNTAIN                                                   | stronghold, village        |
|   4 | minecraft:forest                           | Forest                  |    0.70 | MEDIUM   | 0.80 | false | false   | COOL, WARM | FOREST                                                            | spawn, stronghold          |
|   5 | minecraft:taiga                            | Taiga                   |    0.25 | MEDIUM   | 0.80 | false | false   | COOL       | COLD, CONIFEROUS, FOREST                                          | spawn, stronghold, village |
|   6 | minecraft:swampland                        | Swampland               |    0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP, WET                                                        |                            |
|   7 | minecraft:river                            | River                   |    0.50 | MEDIUM   | 0.50 | false | false   |            | RIVER, WATER                                                      |                            |
|   8 | minecraft:hell                             | Hell                    |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER                                                  | stronghold                 |
|   9 | minecraft:sky                              | The End                 |    0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, END                                                    | stronghold                 |
|  10 | minecraft:frozen_ocean                     | FrozenOcean             |    0.00 | OCEAN    | 0.50 |  true | true    |            | COLD, OCEAN, SNOWY, WATER                                         |                            |
|  11 | minecraft:frozen_river                     | FrozenRiver             |    0.00 | COLD     | 0.50 |  true | false   |            | COLD, RIVER, SNOWY, WATER                                         |                            |
|  12 | minecraft:ice_flats                        | Ice Plains              |    0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, SNOWY, WASTELAND                                            | stronghold                 |
|  13 | minecraft:ice_mountains                    | Ice Mountains           |    0.00 | COLD     | 0.50 |  true | false   |            | COLD, MOUNTAIN, SNOWY                                             | stronghold                 |
|  14 | minecraft:mushroom_island                  | MushroomIsland          |    0.90 | MEDIUM   | 1.00 | false | false   |            | MUSHROOM, RARE                                                    | stronghold                 |
|  15 | minecraft:mushroom_island_shore            | MushroomIslandShore     |    0.90 | MEDIUM   | 1.00 | false | false   |            | BEACH, MUSHROOM, RARE                                             |                            |
|  16 | minecraft:beaches                          | Beach                   |    0.80 | MEDIUM   | 0.40 | false | false   |            | BEACH                                                             |                            |
|  17 | minecraft:desert_hills                     | DesertHills             |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, SANDY                                            | stronghold                 |
|  18 | minecraft:forest_hills                     | ForestHills             |    0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS                                                     | spawn, stronghold          |
|  19 | minecraft:taiga_hills                      | TaigaHills              |    0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, HILLS                                   | spawn, stronghold          |
|  20 | minecraft:smaller_extreme_hills            | Extreme Hills Edge      |    0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN                                                          | stronghold                 |
|  21 | minecraft:jungle                           | Jungle                  |    0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, WET                                           | spawn, stronghold          |
|  22 | minecraft:jungle_hills                     | JungleHills             |    0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HILLS, HOT, JUNGLE, WET                                    | spawn, stronghold          |
|  23 | minecraft:jungle_edge                      | JungleEdge              |    0.95 | MEDIUM   | 0.80 | false | false   |            | FOREST, HOT, JUNGLE, RARE, WET                                    | stronghold                 |
|  24 | minecraft:deep_ocean                       | Deep Ocean              |    0.50 | OCEAN    | 0.50 | false | true    |            | OCEAN, WATER                                                      |                            |
|  25 | minecraft:stone_beach                      | Stone Beach             |    0.20 | MEDIUM   | 0.30 | false | false   |            | BEACH                                                             | stronghold                 |
|  26 | minecraft:cold_beach                       | Cold Beach              |    0.05 | COLD     | 0.30 |  true | false   |            | BEACH, COLD, SNOWY                                                |                            |
|  27 | minecraft:birch_forest                     | Birch Forest            |    0.60 | MEDIUM   | 0.60 | false | false   | WARM       | BIRCH_TREES, FOREST, THEMED_TREES                                 | stronghold                 |
|  28 | minecraft:birch_forest_hills               | Birch Forest Hills      |    0.60 | MEDIUM   | 0.60 | false | false   |            | BIRCH_TREES, FOREST, HILLS, THEMED_TREES                          | stronghold                 |
|  29 | minecraft:roofed_forest                    | Roofed Forest           |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | BIRCH_TREES, DENSE, FOREST, SPOOKY, THEMED_TREES                  | stronghold                 |
|  30 | minecraft:taiga_cold                       | Cold Taiga              |   -0.50 | COLD     | 0.40 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                                   | stronghold                 |
|  31 | minecraft:taiga_cold_hills                 | Cold Taiga Hills        |   -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, HILLS, SNOWY                            | stronghold                 |
|  32 | minecraft:redwood_taiga                    | Mega Taiga              |    0.30 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MEGA_TAIGA_TREES, THEMED_TREES          | stronghold                 |
|  33 | minecraft:redwood_taiga_hills              | Mega Taiga Hills        |    0.30 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, HILLS, MEGA_TAIGA_TREES, THEMED_TREES   | stronghold                 |
|  34 | minecraft:extreme_hills_with_trees         | Extreme Hills+          |    0.20 | MEDIUM   | 0.30 | false | false   |            | FOREST, MOUNTAIN, SPARSE                                          | stronghold                 |
|  35 | minecraft:savanna                          | Savanna                 |    1.20 | WARM     | 0.00 | false | false   |            | HOT, PLAINS, SAVANNA, SPARSE                                      | stronghold, village        |
|  36 | minecraft:savanna_rock                     | Savanna Plateau         |    1.00 | WARM     | 0.00 | false | false   |            | HOT, PLAINS, RARE, SAVANNA, SPARSE                                | stronghold                 |
|  37 | minecraft:mesa                             | Mesa                    |    2.00 | WARM     | 0.00 | false | false   |            | MESA, SANDY                                                       | stronghold                 |
|  38 | minecraft:mesa_rock                        | Mesa Plateau F          |    2.00 | WARM     | 0.00 | false | false   |            | MESA, SANDY, SPARSE                                               | stronghold                 |
|  39 | minecraft:mesa_clear_rock                  | Mesa Plateau            |    2.00 | WARM     | 0.00 | false | false   |            | MESA, SANDY                                                       | stronghold                 |
|  40 | nt:oak_forest                              | Oak Forest              |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold          |
|  41 | nt:tall_oak_forest                         | Tall Oak Forest         |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold          |
|  42 | nt:green_swamp                             | Green Swamp             |    0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP                                                             | spawn, stronghold          |
|  43 | nt:bog                                     | Bog                     |    0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP                                                             | spawn, stronghold          |
|  44 | nt:shrubland                               | Shrubland               |    0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                                            | spawn, stronghold, village |
|  45 | nt:dense_shrubland                         | Dense Shrubland         |    0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                                            | spawn, stronghold, village |
|  46 | nt:highlands                               | Highlands               |    0.70 | MEDIUM   | 0.20 | false | false   | WARM       | HILLS                                                             | spawn, stronghold, village |
|  47 | nt:lowlands                                | Lowlands                |    0.40 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                                            | spawn, stronghold, village |
|  48 | nt:dry_forest                              | Dry Forest              |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold          |
