+-------------------------------------+---------------------------------------------------------------------------------------+-----------+--------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                                                                         |
| of the Block class in question. The actual final values may be different                                                                               |
| for different states of the block, or they may depend on a TileEntity etc.                                                                             |
+-------------------------------------+---------------------------------------------------------------------------------------+-----------+--------------+
| Mod name                            | Registry name                                                                         |  Hardness |   Resistance |
+-------------------------------------+---------------------------------------------------------------------------------------+-----------+--------------+
| AE2 Stuff                           | ae2stuff:encoder                                                                      |      1.00 |         5.00 |
| AE2 Stuff                           | ae2stuff:grower                                                                       |      1.00 |         5.00 |
| AE2 Stuff                           | ae2stuff:inscriber                                                                    |      1.00 |         5.00 |
| AE2 Stuff                           | ae2stuff:wireless                                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_bayberry_plant                                                      |      0.00 |         0.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire                                                   |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_andesite                                          |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_andesitesmooth                                    |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_brick                                             |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_castiron                                          |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_diamond                                           |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_diorite                                           |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_dioritesmooth                                     |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_emerald                                           |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_endbrick                                          |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_endstone                                          |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_gold                                              |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_granite                                           |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_granitesmooth                                     |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclay                                      |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclayblack                                 |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclayblue                                  |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclaybrown                                 |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclaycyan                                  |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclaygray                                  |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclaygreen                                 |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclaylightblue                             |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclaylightgray                             |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclaylime                                  |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclaymagenta                               |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclayorange                                |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclaypink                                  |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclaypurple                                |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclayred                                   |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclaywhite                                 |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_hardenedclayyellow                                |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_iron                                              |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_lapis                                             |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_mossstone                                         |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_mossstonebrick                                    |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_netherbrick                                       |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_netherrack                                        |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_obsidian                                          |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_prismarine                                        |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_prismarinebrick                                   |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_prismarinedark                                    |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_purpur                                            |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_quartz                                            |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_quartzchiseled                                    |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_rednetherbrick                                    |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_redsandstone                                      |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_redstone                                          |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_sandstone                                         |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_stone                                             |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_biglight1_bonfire_stonebrick                                        |      2.50 |        12.50 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_black                                                |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_blue                                                 |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_brown                                                |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_cyan                                                 |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_green                                                |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_grey                                                 |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_lightblue                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_lightgrey                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_lime                                                 |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_magenta                                              |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_natural                                              |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_orange                                               |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_pink                                                 |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_purple                                               |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_red                                                  |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_white                                                |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle01_stone_yellow                                               |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle02                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle02_diamond                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle02_emerald                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle02_glass                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle02_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle02_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle02_lapis                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle02_redstone                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle02_stone                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle03                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle03_acacia                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle03_birch                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle03_darkoak                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle03_jungle                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle03_spruce                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle04                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle04_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle05                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle05_castiron                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle05_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle05_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle06                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle06_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle06_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_black                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_blue                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_brown                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_cyan                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_gray                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_green                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_lightblue                                                  |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_lightgray                                                  |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_lime                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_magenta                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_orange                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_pink                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_purple                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_red                                                        |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_stone                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_white                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle07_yellow                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle08                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle09                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle09_diamond                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle09_emerald                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle09_glass                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle09_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle09_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle09_lapis                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle09_redstone                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle10                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle10_diamond                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle10_emerald                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle10_glass                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle10_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle10_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle10_lapis                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle10_redstone                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle11                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle11_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle11_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle12                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle12_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle12_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle13                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle13_castiron                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle13_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle13_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle14                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle14_diamond                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle14_emerald                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle14_glass                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle14_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle14_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle14_lapis                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle14_redstone                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle15                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle15_acacia                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle15_birch                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle15_darkoak                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle15_diamond                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle15_emerald                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle15_glass                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle15_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle15_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle15_jungle                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle15_lapis                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle15_oak                                                        |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle15_redstone                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle15_spruce                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle15_stone                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle16                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle16_acacia                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle16_birch                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle16_castiron                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle16_darkoak                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle16_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle16_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle16_jungle                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle16_spruce                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle16_stone                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle17                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle17_acacia                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle17_birch                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle17_darkoak                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle17_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle17_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle17_jungle                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle17_oak                                                        |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle17_spruce                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle17_stone                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle18                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle18_castiron                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle18_diamond                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle18_emerald                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle18_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle18_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle18_lapis                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle18_redstone                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle19                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle19_castiron                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle19_diamond                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle19_emerald                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle19_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle19_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle19_lapis                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle19_redstone                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle20                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle20_castiron                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle20_diamond                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle20_emerald                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle20_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle20_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle20_lapis                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle20_redstone                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_black                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_blue                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_brown                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_cyan                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_green                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_grey                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_lightblue                                                  |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_lightgrey                                                  |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_lime                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_magenta                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_orange                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_pink                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_purple                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_red                                                        |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_white                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle21_yellow                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22                                                            |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_black                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_blue                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_brown                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_creeper                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_cyan                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_enderman                                                   |      1.00 |         5.00 |
