+-------+------------------------------------+----------------------------------+-------------------------------------------------------------------------------------------+
| Index | Name                               | Translated Name                  | Icon Item                                                                                 |
+-------+------------------------------------+----------------------------------+-------------------------------------------------------------------------------------------+
|     0 | buildingBlocks                     | Building Blocks                  | [minecraft:brick_block@0 - 'Bricks']                                                      |
|     1 | decorations                        | Decoration Blocks                | [minecraft:double_plant@5 - 'Peony']                                                      |
|     2 | redstone                           | Redstone                         | [minecraft:redstone@0 - 'Redstone']                                                       |
|     3 | transportation                     | Transportation                   | [minecraft:golden_rail@0 - 'Powered Rail']                                                |
|     4 | hotbar                             | Saved Toolbars                   | [minecraft:bookshelf@0 - 'Oak Bookshelf']                                                 |
|     5 | search                             | Search Items                     | [minecraft:compass@0 - 'Compass']                                                         |
|     6 | misc                               | Miscellaneous                    | [minecraft:lava_bucket@0 - 'Lava Bucket']                                                 |
|     7 | food                               | Foodstuffs                       | [minecraft:apple@0 - 'Apple']                                                             |
|     8 | tools                              | Tools                            | [minecraft:iron_axe@0 - 'Iron Axe']                                                       |
|     9 | combat                             | Combat                           | [minecraft:golden_sword@0 - 'Golden Sword']                                               |
|    10 | brewing                            | Brewing                          | [minecraft:potion@0 - 'Water Bottle']                                                     |
|    11 | inventory                          | Survival Inventory               | [minecraft:chest@0 - 'Oak Chest']                                                         |
|    12 | additionalbanners                  | Add. Banners                     | [minecraft:banner@15 - 'White Banner']                                                    |
|    13 | adpoles                            | To the Bat Poles!                | [adpoles:diamond_block@0 - 'Diamond Pole']                                                |
|    14 | multiBlock                         | Multi Block Machine Parts        | [libvulpes:linker@0 - 'Linker']                                                           |
|    15 | advancedRocketryOres               | Advanced Rocketry Ores           | [libvulpes:ore0@4 - 'Copper Ore']                                                         |
|    16 | advancedRocketry                   | Advanced Rocketry                | [advancedrocketry:satelliteidchip@0 - 'Satellite Id Chip']                                |
|    17 | charset                            | The Charset Project              | [charset:icon@0 - 'a']                                                                    |
|    18 | Probe                              | The One Probe                    | [theoneprobe:probe@0 - 'The One Probe']                                                   |
|    19 | immersiveengineering               | Immersive Engineering            | [immersiveengineering:metal_decoration0@0 - 'Copper Coil Block']                          |
|    20 | alternatingflux                    | Alternating Flux                 | [alternatingflux:wirecoil@0 - 'AF Wire Coil']                                             |
|    21 | botania_tweaks                     | Botania Tweaks                   | [botania_tweaks:compressed_tiny_potato_8@0 - 'Galactic Potato']                           |
