+----------------------------+--------------------------------------------------------+------------------------------+-----+
| Mod name                   | Registry name                                          | Entity class name            |  ID |
+----------------------------+--------------------------------------------------------+------------------------------+-----+
| Advanced Rocketry          | advancedrocketry:arabducteditem                        | EntityItemAbducted           |   4 |
| Advanced Rocketry          | advancedrocketry:arplanetuibutton                      | EntityUIButton               |   6 |
| Advanced Rocketry          | advancedrocketry:arplanetuiitem                        | EntityUIPlanet               |   5 |
| Advanced Rocketry          | advancedrocketry:arspaceelevatorcapsule                | EntityElevatorCapsule        |   8 |
| Advanced Rocketry          | advancedrocketry:arstaruibutton                        | EntityUIStar                 |   7 |
| Advanced Rocketry          | advancedrocketry:deployedrocket                        | EntityStationDeployedRocket  |   3 |
| Advanced Rocketry          | advancedrocketry:lasernode                             | EntityLaserNode              |   2 |
| Advanced Rocketry          | advancedrocketry:mountdummy                            | EntityDummy                  |   0 |
| Advanced Rocketry          | advancedrocketry:rocket                                | EntityRocket                 |   1 |
| Aether Legacy              | aether_legacy:aechor_plant                             | EntityAechorPlant            |  10 |
| Aether Legacy              | aether_legacy:aerbunny                                 | EntityAerbunny               |   4 |
| Aether Legacy              | aether_legacy:aerwhale                                 | EntityAerwhale               |   5 |
| Aether Legacy              | aether_legacy:cockatrice                               | EntityCockatrice             |   7 |
| Aether Legacy              | aether_legacy:enchanted_dart                           | EntityDartEnchanted          |  17 |
| Aether Legacy              | aether_legacy:fire_ball                                | EntityFireBall               |  19 |
| Aether Legacy              | aether_legacy:fire_minion                              | EntityFireMinion             |  23 |
| Aether Legacy              | aether_legacy:floating_block                           | EntityFloatingBlock          |  25 |
| Aether Legacy              | aether_legacy:flying_cow                               | EntityFlyingCow              |   2 |
| Aether Legacy              | aether_legacy:golden_dart                              | EntityDartGolden             |  15 |
| Aether Legacy              | aether_legacy:hammer_projectile                        | EntityHammerProjectile       |  29 |
| Aether Legacy              | aether_legacy:ice_ball                                 | EntityIceyBall               |  20 |
| Aether Legacy              | aether_legacy:lightning_knife                          | EntityLightningKnife         |  30 |
| Aether Legacy              | aether_legacy:mimic                                    | EntityMimic                  |  11 |
| Aether Legacy              | aether_legacy:mini_cloud                               | EntityMiniCloud              |  24 |
| Aether Legacy              | aether_legacy:moa                                      | EntityMoa                    |   0 |
| Aether Legacy              | aether_legacy:parachute                                | EntityParachute              |  31 |
| Aether Legacy              | aether_legacy:phoenix_arrow                            | EntityPhoenixArrow           |  27 |
| Aether Legacy              | aether_legacy:phyg                                     | EntityPhyg                   |   1 |
| Aether Legacy              | aether_legacy:poison_dart                              | EntityDartPoison             |  16 |
| Aether Legacy              | aether_legacy:poison_needle                            | EntityPoisonNeedle           |  18 |
| Aether Legacy              | aether_legacy:sentry                                   | EntitySentry                 |   8 |
| Aether Legacy              | aether_legacy:sheepuff                                 | EntitySheepuff               |   3 |
| Aether Legacy              | aether_legacy:slider                                   | EntitySlider                 |  12 |
| Aether Legacy              | aether_legacy:sun_spirit                               | EntitySunSpirit              |  14 |
| Aether Legacy              | aether_legacy:swet                                     | EntitySwet                   |   6 |
| Aether Legacy              | aether_legacy:thunder_ball                             | EntityThunderBall            |  21 |
| Aether Legacy              | aether_legacy:tnt_present                              | EntityTNTPresent             |  26 |
| Aether Legacy              | aether_legacy:valkyrie                                 | EntityValkyrie               |  22 |
| Aether Legacy              | aether_legacy:valkyrie_queen                           | EntityValkyrieQueen          |  13 |
| Aether Legacy              | aether_legacy:whirlwind                                | EntityWhirlwind              |  32 |
| Aether Legacy              | aether_legacy:zephyr                                   | EntityZephyr                 |   9 |
| Aether Legacy              | aether_legacy:zephyr_snowball                          | EntityZephyrSnowball         |  28 |
| Animania                   | animania:buck_alpine                                   | EntityBuckAlpine             |  69 |
| Animania                   | animania:buck_angora                                   | EntityBuckAngora             |  72 |
| Animania                   | animania:buck_chinchilla                               | EntityRabbitBuckChinchilla   | 110 |
| Animania                   | animania:buck_cottontail                               | EntityRabbitBuckCottontail   | 107 |
| Animania                   | animania:buck_dutch                                    | EntityRabbitBuckDutch        | 113 |
| Animania                   | animania:buck_fainting                                 | EntityBuckFainting           |  75 |
| Animania                   | animania:buck_havana                                   | EntityRabbitBuckHavana       | 116 |
| Animania                   | animania:buck_jack                                     | EntityRabbitBuckJack         | 119 |
| Animania                   | animania:buck_kiko                                     | EntityBuckKiko               |  78 |
| Animania                   | animania:buck_kinder                                   | EntityBuckKinder             |  81 |
| Animania                   | animania:buck_lop                                      | EntityRabbitBuckLop          | 128 |
| Animania                   | animania:buck_new_zealand                              | EntityRabbitBuckNewZealand   | 122 |
| Animania                   | animania:buck_nigerian_dwarf                           | EntityBuckNigerianDwarf      |  84 |
| Animania                   | animania:buck_pygmy                                    | EntityBuckPygmy              |  87 |
| Animania                   | animania:buck_rex                                      | EntityRabbitBuckRex          | 125 |
| Animania                   | animania:bull_angus                                    | EntityBullAngus              |  43 |
| Animania                   | animania:bull_friesian                                 | EntityBullFriesian           |  46 |
| Animania                   | animania:bull_hereford                                 | EntityBullHereford           |  49 |
| Animania                   | animania:bull_highland                                 | EntityBullHighland           |  58 |
| Animania                   | animania:bull_holstein                                 | EntityBullHolstein           |  52 |
| Animania                   | animania:bull_jersey                                   | EntityBullJersey             |  61 |
